vehicle_id,report_date,shift,vehicle_model,department_unit,stay_h,engine_h,idle_h,fuel_l,rate_fact,norm,load_pct,util_pct
0945ТО72,2026-02-04,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.93,0.00,11.93,41.1,0.00,10.1,0.0,0.0
0945ТО72,2026-02-04,День,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.85,0.00,11.85,41.5,0.00,10.1,0.0,0.0
0945ТО72,2026-02-05,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,0.43,0.00,0.43,0.0,0.00,10.1,0.0,0.0
0945ТО72,2026-02-05,День,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.93,0.00,11.93,47.3,0.00,10.1,0.0,0.0
0945ТО72,2026-02-06,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.93,0.00,11.93,43.0,0.00,10.1,0.0,0.0
0945ТО72,2026-02-06,День,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.43,0.00,11.43,37.3,0.00,10.1,0.0,0.0
0945ТО72,2026-02-07,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.93,0.00,11.93,34.4,0.00,10.1,0.0,0.0
0945ТО72,2026-02-07,День,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.93,0.00,11.93,52.8,0.00,10.1,0.0,0.0
0945ТО72,2026-02-08,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.99,0.00,11.99,11.6,0.00,10.1,0.0,0.0
0945ТО72,2026-02-08,День,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.99,0.00,11.99,25.6,0.00,10.1,0.0,0.0
0945ТО72,2026-02-09,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.98,8.45,3.53,23.4,2.77,10.1,77.0,70.6
0945ТО72,2026-02-09,День,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,5.61,4.58,1.03,29.1,6.35,10.1,89.0,81.6
0945ТО72,2026-02-10,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,0.50,0.32,0.18,2.1,6.49,10.1,70.6,64.7
0945ТО72,2026-02-10,День,Кран гусеничный Hitachi KH-500L,СМУ г. Оренбург,11.92,11.84,0.08,38.9,3.29,10.1,100.0,99.3
0945ТО72,2026-02-11,День,Кран гусеничный Hitachi KH-500L,"",0.50,0.50,0.00,1.5,3.00,10.1,100.0,100.0
0946ТО72,2026-02-04,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Омск,12.00,12.00,0.00,76.3,6.36,10.1,100.0,100.0
0946ТО72,2026-02-04,День,Кран гусеничный Hitachi KH-500L,СМУ г. Омск,12.00,12.00,0.00,53.7,4.48,10.1,100.0,100.0
0946ТО72,2026-02-05,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Омск,8.55,8.55,0.00,31.0,3.63,10.1,100.0,100.0
0946ТО72,2026-02-05,День,Кран гусеничный Hitachi KH-500L,СМУ г. Омск,11.99,10.95,1.04,44.0,4.02,10.1,99.6,91.3
0946ТО72,2026-02-06,Вечер,Кран гусеничный Hitachi KH-500L,СМУ г. Омск,10.84,10.45,0.40,40.8,3.91,10.1,100.0,96.3
